"","Type.of.feeding.interaction","mean.predator.mass","median.predator.mass","mean.prey.mass","median.prey.mass","mean.size.ratio","median.size.ratio"
"1","insectivorous",6.18277377770291,7.46737106691756,-0.777370412904151,0.398776119957368,6.96014419060706,7.11597318007967
"2","piscivorous",6.18277377770291,7.46737106691756,-0.777370412904151,0.398776119957368,6.96014419060706,7.11597318007967
"3","planktivorous",6.18277377770291,7.46737106691756,-0.777370412904151,0.398776119957368,6.96014419060706,7.11597318007967
"4","predacious",6.18277377770291,7.46737106691756,-0.777370412904151,0.398776119957368,6.96014419060706,7.11597318007967
"5","predacious/piscivorous",6.18277377770291,7.46737106691756,-0.777370412904151,0.398776119957368,6.96014419060706,7.11597318007967
