"","Logistic","Baryani","Gompertz","Buchanan"
"1",16.2787670124835,14.0487149906726,12.3805958894898,14.3760263108708
"2",8.52455859236344,10.506433094575,5.12000265378653,NA
"3",-0.703532187813988,-1.54542930532225,-5.66731795142333,NA
"4",29.5544132682849,NA,NA,NA
"5",9.7566864216672,-5.73129760630475,4.50230554341325,-6.54893145818781
"6",8.42700439754955,-14.9801626805736,-27.4449056351212,NA
"7",-5.71573367840283,-20.0239582441023,-20.130194563969,NA
"8",-0.447657784496018,-26.8851398289693,-26.3768835939951,NA
"9",-9.99177332942782,-13.0130399497746,-13.5145505846708,NA
"10",-12.7728927652122,NA,NA,NA
"11",-17.2780188269949,-22.0623913907634,NA,NA
"12",-9.11266375996046,-30.9763319735849,-28.4084863929634,-29.168000330559
"13",-3.85051557916455,-7.47834565790863,-10.7916820149965,-9.33417900807062
"14",0.0357274096280005,0.675422588234914,NA,NA
"15",-9.96764804038735,NA,NA,NA
"16",25.7818225643228,-5.57562675146175,-11.3700194886433,-5.88558445549818
"17",4.67201220165053,-14.4911749287507,-17.1244597378363,-21.1562028637957
"18",15.2118459355284,-8.20430972376657,-9.89587016266906,-12.1120198212493
"19",14.6700419039981,NA,NA,NA
"20",16.1891734463429,NA,NA,NA
"21",7.59758069425693,-1.4169781429022,-1.92375742702429,-3.04520367653545
"22",1.47761972284866,-10.0393849410437,-15.1510836955548,NA
"23",7.53963265108912,-7.6568080285285,-6.01737965767013,NA
"24",6.0964463566981,-25.5746250680145,NA,NA
"25",4.48457673087022,5.14654316813774,8.76177824252741,NA
"26",41.7249605390931,-6.60780052758184,-7.2029065197834,-5.98820055385035
"27",0.172556251323657,-9.61902839567521,-17.6417963235947,-7.14090657093213
"28",-9.19922086333452,-9.85911719972665,-5.10267606223944,NA
"29",12.3354001763281,-3.98934345328061,-12.8414251788329,2.82175536699211
"30",-2.70397150513505,-12.3320110219347,-10.630765149326,-17.7299128684064
"31",8.09732717474311,-6.50058298238012,-8.72376020948317,-1.77504264181618
"32",20.0685985890323,-17.4234151988475,-10.9272726014237,-19.016458155811
"33",-6.61614805485427,NA,NA,NA
"34",-4.76414784153376,-2.79815017489532,-12.7980743800894,NA
"35",5.90905409595238,-9.1642314753193,-7.21661121328314,NA
"36",2.78164922358913,-1.36012115277009,-5.47974567202603,NA
"37",19.3784392789478,-4.56483607785714,-4.5384325439794,NA
"38",17.954796768103,-19.5657619971474,-34.8616054660209,NA
"39",-12.3664938952479,-10.4287079468405,-14.6867771092428,NA
"40",-18.7215534520638,NA,NA,NA
"41",2.13457649337122,-22.7231949621774,-20.8664546895512,NA
"42",-13.9339645353455,-14.5606645805802,-15.2518263518871,NA
"43",-8.05594067323861,-14.8041291919017,-9.39039653827535,NA
"44",11.2767040233821,-29.5051641139224,-32.9396807294828,-14.3423203947296
"45",-15.9879066148184,-30.1438127462896,-29.2281263467929,-30.5443390290064
"46",18.9192608735053,-16.4992631474229,-16.4992618472097,-16.0873902626585
"47",NA,NA,NA,NA
"48",22.8318990492559,-28.8206555759148,-28.8206539385986,NA
"49",-20.6588080348412,-41.0874497345031,-38.6373429109679,-26.9745269219233
"50",-5.80395696889794,-7.67473658235291,-4.34377501885341,NA
"51",NA,NA,NA,NA
"52",-11.9422382504269,-14.9990664665726,-11.1042023062977,NA
"53",-10.7243221139302,NA,NA,NA
"54",NA,NA,NA,NA
"55",NA,NA,NA,NA
"56",NA,NA,NA,NA
"57",NA,NA,NA,NA
"58",NA,NA,NA,NA
"59",NA,NA,NA,NA
"60",NA,NA,NA,NA
"61",NA,NA,NA,NA
"62",NA,NA,NA,NA
"63",46.7812975802106,16.0572756926675,15.8539255767657,14.9438080709653
"64",-10.1576804422566,-8.58342139004909,-7.96990870630032,-6.29121463525423
"65",NA,NA,NA,NA
"66",-24.2305888890916,-22.2312035848354,-21.9609074487432,NA
"67",NA,NA,NA,NA
"68",26.5789428450912,3.66776344313513,1.71386495875637,4.68549126508282
"69",NA,NA,NA,NA
"70",2.8742346842785,2.43296533874553,12.2095243245102,3.49418660947155
"71",-9.25213995505729,-13.0373980186173,8.88466931057241,-5.5621486862423
"72",0.8448203057812,2.83565810833239,6.15937090244366,NA
"73",-4.55762092914144,-2.56258498666199,2.86976811966193,NA
"74",-4.45655200753384,-12.9456941764631,-11.9285408404404,-13.7130373510968
"75",1.52703868815772,3.48605167056604,7.04515687048181,NA
"76",4.07166603110022,4.12951402824786,-19.7300789322392,12.2793059210345
"77",12.5686981137591,14.5638886051558,5.00473774682901,NA
"78",-4.37102496588508,-3.54100415305178,-5.92389085480543,NA
"79",27.3508880032615,-1.0800389555191,-3.15673641694699,NA
"80",-27.7533752126142,-26.4084254833763,-14.639712497492,NA
"81",8.78757762920233,8.2501664601033,8.21923822301745,10.6757160381095
"82",6.84553808987839,NA,NA,NA
"83",-15.7465644274293,-14.1200761116282,-1.330117859042,NA
"84",-8.90793497860919,-8.36720996467844,-2.30574592582755,-1.73024063817683
"85",-18.6967482855528,-17.0386850973191,-18.963712112298,-16.7869494935738
