"","Time","Abundance"
"1",13.9169095221953,1183.87160388697
"2",81.8210652783333,1808.32568340572
"3",174.276331597917,10996.6263571046
"4",247.400881057268,18336.0139369343
"5",299.962240402768,19675.5304332887
"6",419.947136563876,14149.2882086017
"7",512.942267563179,15942.1334292055
"8",587.418502202643,16393.7937699715
"9",678.521679831229,17588.9323651484
"10",829.952102523027,20823.0301796299
"11",950.642210652783,20437.5811214231
"12",748.716621082739,18265.2682057342
"13",14.9784423382995,1347.05576267999
"14",84.0121742692338,742.235014043244
"15",179.527032498059,5781.2594318515
"16",249.216041318732,16859.327439109
"17",300.850198379622,20409.3039459334
"18",421.235873276091,12405.415414964
"19",514.387602721337,13068.684928586
"20",589.284166305471,17675.572178474
"21",679.560148940411,17551.752820169
"22",750.807188343948,14052.6427124593
"23",835.395396180679,16558.1312203965
"24",950.8818724369,18966.1447660542
"25",11.8784383022696,1250.77508830961
"26",84.0601854718489,1438.25185101209
"27",179.664653459791,9761.93459459494
"28",251.077600157985,16175.132659662
"29",300.725924484421,20578.8016563879
"30",421.716218632833,16635.0026926111
"31",514.057946854267,14067.5551980849
"32",588.769379521889,18872.8278974797
"33",678.975664018574,19256.7306920776
"34",751.232393941567,18250.6832585397
"35",830.839026075781,18939.4356378673
"36",950.929883639516,13035.1352220763
"37",1014.24465708665,14410.1092915071
"38",101.492075036721,773.688259417327
"39",271.619791707587,18346.2497234718
"40",324.446946582829,21928.3066065351
"41",443.509277014095,17134.7428983078
"42",537.000933449821,19795.820871423
"43",611.097051723416,16318.7238160698
"44",700.767426261484,15526.6972303694
"45",773.179605995751,17331.1614699621
"46",853.649049897587,19985.7826868662
"47",973.728150752906,20625.2169945877
"48",1036.09454972117,15742.2640992603
"49",28.6492947645229,1134.75520770568
"50",198.020559407124,9219.8615906844
"51",83.7746746968214,1706.19662484414
"52",248.935418264259,18221.5522136892
"53",301.024930059438,17931.8421832758
"54",421.151602040473,19420.4915406669
"55",514.013269762943,14718.4784599683
"56",678.979592207879,18939.4356378672
"57",950.754557015684,16781.8206188815
"58",1014.34067949188,15276.0099165464
"59",177.977528089888,9929.08144884015
"60",16.1797752808986,1134.75520770539
"61",587.865168539326,17730.4998885565
"62",749.662921348314,17446.811945294
"63",830.561797752808,18156.0318034501
