"","Time","Abundance"
"1",1.8843339681267,4.63539704196197
"2",7.99553258208161,6.04241760660573
"3",12.365583699652,8.28256266547943
"4",16.088431964948,8.8038803918073
"5",22.7322842537837,10.8880783585208
"6",26.2260341642922,13.4926998811256
"7",32.2455934363321,14.0664003425018
"8",36.9764744626928,15.4211830073191
"9",41.7302653245322,16.9843019899591
"10",45.1209209753863,18.6514101481298
"11",48.408482366586,19.3810048826718
"12",53.5746502670428,20.5275108941082
"13",56.2837383124042,20.163280306616
"14",61.4556336717307,21.3618703971534
"15",72.0227952863014,21.6236629963215
"16",80.310428270737,21.9893254485326
