"","Time","Abundance"
"1",670.563995110878,-1.3709351657869
"2",645.255805832023,-1.35732719263318
"3",622.37471625633,-1.37780922963707
"4",598.274838484372,-1.3709351657869
"5",574.16099179326,-1.33725626323135
"6",550.064606251091,-1.33725626323135
"7",525.957744019556,-1.31758026244884
"8",501.868342936965,-1.33065448661482
"9",478.969792212327,-1.31758026244884
"10",453.672079622839,-1.32409600776682
"11",430.784005587567,-1.33065448661482
"12",405.500261917234,-1.36410803227197
"13",382.612187881963,-1.3709351657869
"14",358.519294569583,-1.37780922963707
"15",333.266980967348,-1.47936413182877
"16",310.39636808102,-1.52625690653241
"17",286.331412606949,-1.60099601843945
"18",262.273441592457,-1.7006485083425
"19",238.211978348175,-1.80075710892311
"20",214.147022874105,-1.90031433199016
"21",190.116989697922,-2.15005171330664
"22",167.260345730749,-2.3117587445561
"23",143.188405797101,-2.44284861843575
"24",117.922123275711,-2.66611760483671
"25",95.0480181595949,-2.79973860358577
"26",70.9900471451021,-3.17736145922911
"27",46.9250916710319,-3.64799276256658
"28",24.0544787847041,-4.15993522508988
"29",-0.0314300680984445,-4.56679813798964
