"","Time","Abundance"
"1",479.445727482679,-0.337856515928323
"2",455.427251732102,-0.341827377233693
"3",431.408775981524,-0.345814069160656
"4",407.390300230947,-0.32736963028741
"5",384.295612009238,-0.32020991067759
"6",360.27713625866,-0.316763301772087
"7",336.258660508083,-0.295253265795649
"8",311.316397228637,-0.281244926246319
"9",288.221709006928,-0.281448915955672
"10",263.279445727483,-0.281669271590195
"11",240.184757505774,-0.274828298268819
"12",216.166281755196,-0.275039091358553
"13",191.22401847575,-0.275258038915059
"14",168.129330254042,-0.278979360357799
"15",143.187066974596,-0.251385412656644
"16",120.092378752887,-0.258466019238725
"17",96.0739030023093,-0.255225446757618
"18",72.0554272517319,-0.258880805737841
"19",47.1131639722863,-0.315968964860387
"20",23.0946882217089,-0.478699536528747
"21",9.23787528868343,-0.948049129015982
"22",8.31408775981504,-1.16211641226741
"23",7.39030023094676,-1.35939050580699
"24",6.46651270207826,-1.49249478804702
"25",5.54272517320999,-1.73270818390946
"26",4.6189376443416,-1.8786333725801
"27",3.69515011547321,-2.04955173748882
"28",2.77136258660494,-2.25583066647294
"29",0.923787528868161,-2.48361770718033
"30",0.923787528868161,-2.48361770718033
"31",0.923787528868161,-2.77888882809401
"32",0.923787528868161,-3.9403805841745
