"","Time","Abundance"
"1",479.445727482679,-1.9362454358708
"2",455.427251732101,-1.86904653376933
"3",431.408775981524,-1.82244432537969
"4",407.390300230947,-1.80998638545588
"5",383.371824480369,-1.81390770740897
"6",359.353348729792,-1.66578582206325
"7",335.334872979215,-1.64126461722702
"8",311.316397228637,-1.61733033844795
"9",287.29792147806,-1.59395554458493
"10",263.279445727483,-1.53334109289729
"11",239.260969976905,-1.51182924245198
"12",215.242494226328,-1.43325003072021
"13",191.224018475751,-1.41376725251107
"14",167.205542725173,-1.3733724575772
"15",143.187066974596,-1.19310668169222
"16",119.168591224018,-1.19522081720379
"17",95.1501154734412,-1.27059957259842
"18",71.1316397228637,-1.4609196336357
"19",47.1131639722862,-1.96101415358647
"20",23.0946882217088,-3.25083576508612
"21",9.23787528868365,-3.79993168224825
"22",6.4665127020786,-4.24760783003281
"23",1.84757505773666,-4.72825437285708
