"","Time","Abundance"
"1",670.588235294117,-2.23262094905071
"2",647.464503042596,-2.24916336811652
"3",623.123732251521,-2.28309251152588
"4",598.782961460446,-2.2163477343609
"5",575.659229208925,-2.2003351023283
"6",551.31845841785,-2.24916336811652
"7",526.977687626774,-2.18457483890201
"8",502.636916835699,-2.18457483890201
"9",479.513184584179,-2.18457483890201
"10",453.955375253549,-2.16905911239573
"11",432.048681541582,-2.2163477343609
"12",407.707910750507,-2.31821339475378
"13",384.584178498986,-2.28309251152587
"14",359.026369168357,-2.30049877650863
"15",335.902636916835,-2.37332170245905
"16",311.56186612576,-2.30049877650863
"17",288.438133874239,-2.3362474885917
"18",264.097363083164,-2.47250697675032
"19",239.756592292089,-2.41182351039103
"20",215.415821501014,-2.45186727370167
"21",191.075050709939,-2.73308753150064
"22",167.951318458418,-2.76052256703365
"23",144.827586206896,-2.81775947182565
"24",120.486815415821,-2.97706779830114
"25",96.1460446247461,-3.08645828912576
"26",71.8052738336711,-3.40079708135841
"27",48.6815415821497,-3.63786106264347
"28",24.3407707910748,-4.15082784258501
"29",-3.41060513164848e-13,-4.40367447987552
