"","Time","Abundance"
"1",670.588235294118,-0.904837381578083
"2",646.247464503043,-0.896177520464101
"3",600,-0.926820924112226
"4",573.225152129817,-0.949298626521512
"5",551.31845841785,-0.940246826178267
"6",528.194726166328,-0.931276226462066
"7",502.6369168357,-0.991077342097162
"8",479.513184584178,-1.01506482622546
"9",453.955375253549,-1.01022107652767
"10",430.831643002028,-1.03964188102966
"11",406.490872210953,-1.11185604421944
"12",383.367139959432,-1.12261160997726
"13",359.026369168357,-1.22500157882271
"14",334.685598377282,-1.28676788742562
"15",311.56186612576,-1.33908379707975
"16",287.221095334686,-1.42307738668903
"17",262.88032454361,-1.52281346973466
"18",238.539553752535,-1.52281346973466
"19",214.19878296146,-1.62463763017134
"20",191.075050709939,-1.81062455356102
"21",166.734279918864,-1.97386765543004
"22",143.610547667343,-2.09489838778783
"23",118.052738336713,-2.23262094905071
"24",94.9290060851924,-2.45186727370167
"25",71.8052738336711,-2.87847240332789
"26",46.2474645030424,-3.16665504469295
"27",23.1237322515209,-3.51232054404535
"28",-3.41060513164848e-13,-4.04493160792839
"29",623.123732251521,-0.922385383469578
