"","Time","Abundance"
"1",672.289156626506,-5.30549253967252
"2",646.987951807229,-5.29082761282306
"3",624.096385542169,-5.69438339720983
"4",600,-5.26415049444912
"5",575.903614457831,-4.96431083116421
"6",551.807228915663,-5.23750913547285
"7",526.506024096386,-5.61366340779743
"8",502.409638554217,-4.93425951170992
"9",480.722891566265,-4.92556176143171
"10",455.421686746988,-4.70266011541705
"11",431.325301204819,-5.17385473490428
"12",408.433734939759,-6.09647401815207
"13",383.132530120482,-4.88733177519382
"14",360.240963855422,-4.87857197742099
"15",334.939759036145,-4.86897854229035
"16",312.048192771084,-4.86037736565648
"17",287.951807228916,-5.10303453162439
"18",263.855421686747,-4.84250789085749
"19",240.963855421687,-4.63637898684299
"20",215.66265060241,-4.82495213637219
"21",191.566265060241,-5.0580961174913
"22",167.469879518072,-5.36267107669805
"23",144.578313253012,-4.60796307729132
"24",119.277108433735,-4.60063579415309
"25",96.3855421686747,-5.31966196249174
"26",71.0843373493976,-4.7740616553829
"27",46.9879518072289,-4.99426210011725
"28",22.8915662650602,-4.98400830128636
"29",-1.4210854715202e-14,-4.97436362361112
