"","Time","Abundance"
"1",526.5625,4.73843631266995
"2",501.5625,4.74844365946073
"3",479.6875,4.66233054104856
"4",454.6875,4.65312380664683
"5",429.6875,4.58627499388851
"6",360.9375,4.44327111182198
"7",334.375,4.36684092208824
"8",310.9375,4.2903609512476
"9",264.0625,4.19504282795121
"10",214.0625,3.763541056911
"11",190.625,3.66785094364499
"12",167.1875,3.7738981495065
"13",95.3124999999999,2.3534102937126
"14",67.1874999999999,1.88329697125143
"15",45.3124999999999,1.45159912461064
"16",18.75,1.21205885903371
"17",3.125,1.01078305250057
