"","Time","Abundance"
"1",1.40679953106678,48.5630220067723
"2",5.15826494724499,164.96244802766
"3",21.5709261430245,5223.70380535318
"4",27.1981242672919,15124.0735740815
"5",31.4185228604923,46189.2760669606
"6",45.0175849941383,732817.462270715
"7",53.4583821805392,2767117.4532573
"8",70.8089097303634,13615972.8334025
"9",78.3118405627198,409321604.191671
"10",94.7245017584993,281456584.093699
"11",99.8827667057444,430446990.050046
"12",106.916764361079,561070325.627983
"13",122.860492379836,953024843.750877
"14",128.018757327081,952371350.531848
