"","Time","Abundance"
"1",669.879518072289,-1.24928274550061
"2",646.987951807229,-1.24905134581347
"3",622.89156626506,-1.24276320134914
"4",597.590361445783,-1.25463201634141
"5",574.698795180723,-1.28535832353971
"6",550.602409638554,-1.34335310985017
"7",526.506024096385,-1.34308551020006
"8",502.409638554217,-1.39056379096018
"9",479.518072289157,-1.38333713560306
"10",454.21686746988,-1.36927207263881
"11",431.325301204819,-1.43252186933418
"12",384.33734939759,-1.49973095713519
"13",406.024096385542,-1.46178116472994
"14",359.036144578313,-1.49164302323666
"15",310.843373493976,-1.63180040519167
"16",334.939759036145,-1.60582103337737
"17",261.44578313253,-1.81598961033182
"18",286.746987951807,-1.73434064680029
"19",215.66265060241,-1.9401728550388
"20",238.55421686747,-1.85926769060287
"21",190.361445783133,-2.09652354321756
"22",166.265060240964,-2.23212146380876
"23",142.168674698795,-2.42769531114613
"24",119.277108433735,-2.72269256738168
"25",95.1807228915663,-3.02874812712541
"26",71.0843373493976,-3.316706632542
"27",46.9879518072289,-3.79740525363437
"28",22.8915662650602,-4.41753314019204
"29",-1.4210854715202e-14,-4.74995931647285
